City,Name,Adress,Web
Барнаул,Арт-галерея Щетининых Салон-магазин “Все для художника”,"пр. Социалистический, 78",art-22.ru
Владивосток,Арт-Микс,"Океанский пр-кт, д. 117",артмикс1.рф
Владивосток,Арт-Микс,"ул. Семёновская, д. 6",артмикс1.рф
Владивосток,Арт-Микс,"ул. Борисенко, д. 23",артмикс1.рф
Владивосток,Канцелярская крыса,"ул. Уборевича, 22",sims.ru
Владивосток,"Да Винчи, Магазин-салон для художников","Океанский проспект, 140",usbee.ru
Екатеринбург,Маэстрия,"ул. Первомайская, 33",maestria.su
Екатеринбург,Маэстрия,"ул.Стачек, 4",maestria.su
Екатеринбург,Салон Хдожник,"ул. Белинского, 135",ural-art-trade.com
Екатеринбург,Салон Хдожник,"ул. Победы, 8",ural-art-trade.com
Екатеринбург,Салон Хдожник,"ул. Смазчиков, 5",ural-art-trade.com
Екатеринбург,Салон Хдожник,"ул. Мехренцева, 38",ural-art-trade.com
Ижевск,Хдожник,"Промышленная, 23",ural-art-trade.com
Иркутск,ПродаЛитЪ,,prodalit.ru
Киров,"Художественные материалы ""Арт-салон""","г. Киров, ул Р.Люксембург, 23 ",artmaterials.ru
Киров,"Художественные материалы ""Арт-салон""","г. Москва, пр. Вернадского, 105 ",artmaterials.ru
Красноярск,Хинган,"ул. Взлетная, 2",hingan.ru
Красноярск,Хинган,"пр. Мира, 3",hingan.ru
Красноярск,Хинган,ул. Ленина 116,hingan.ru
Красноярск,Хинган,"пр. Красноярский Рабочий, 157, т. Ц. «Ассорти»",hingan.ru
Красноярск,Хинган,"ул. Высотная, 11",hingan.ru
Новосибирск,Лавка художника,"г. Новосибирск, ул.Потанинская, 11",artinsib.ru
Новосибирск,Лавка художника,"г. Новосибирск, проспект Карла Маркса, д. 29",artinsib.ru
Новосибирск,Лавка художника,"г. Новосибирск, пр-т Мира, 100",artinsib.ru
Новосибирск,Лавка художника,"г. Омск, ул. Красный Путь, д. 9",artinsib.ru
Новосибирск,Лавка художника,"г. Барнаул, ул. Молодежная, 34",artinsib.ru
Омск,ТД «Канцелярские товары»,,kanztov.ru/news.php
Оренбург,Секретория,,sekretoria.ru
Пермь,Эскиз ,"ул. Петропавловская, 52",
Пермь,Эскиз ,"ул. Пушкина, 84",
Пермь,Художник,"ул. Максима Горького, 27 (3 этаж, центр Дом художника)",
Сургут,"""Канцопт""","Нефтеюганское шоссе, д.38.",kanz-opt.ru
Сургут,"""Акварель""",ул. Университетская 7.,kanz-opt.ru
Томск,ТД Карандаш,,tdkarandash.ru
Томск,Мастерская Творца,"ул. Герцена, 13/1 ",m-tvortsa.ru
Уфа,Артель,"Бабушкина, 25",
Челябинск,Магазин для художников «Малевич»,пр. Ленина 71-а ,malevichmagazin.ru
Южно-Сахалинск,ТД Амикс,"Коммунистический пр., 49",амикс.рф
Южно-Сахалинск,ТД Амикс,"ул. Пуркаева, 110",амикс.рф
Южно-Сахалинск,ТД Амикс,"  ул. Комсомольская, 259В, ТДЦ «Столица», 1-й этаж.",амикс.рф
Якутск,Канцпроф,,bookmk.ru
Якутск,Акварель,,akvarel-skm.ru
