"City","Name","Adress","Web"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Проспект Ленина, 217","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","79 Гв. Дивизии, 12/1","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Гагарина, 10","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Интернационалистов, 17 (ТЦ ""Виктория"")","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Иркутский тракт, 78а","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Иркутский тракт, 112 (ТЦ ""Акварель"")","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Киевская, 68","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Кирова, 62","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Красноармейская, 101","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Лазо, 24 (ТЦ ""Аванс"")","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Ленина, 163а (ТЦ ""Гранд"")","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Ленина, 217 (ТЦ ""Томлад"")","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Мюнниха, 8а","http://www.tdkarandash.ru/"
"Томск","Сеть магазинов канцелярских товаров ТД Карандаш","Фрунзе, 105","http://www.tdkarandash.ru/"
"Северск","Сеть магазинов канцелярских товаров ТД Карандаш","Коммунистический, 61","http://www.tdkarandash.ru/"
"Северск","Сеть магазинов канцелярских товаров ТД Карандаш","Солнечная, 2 стр. 5 (ТЦ ""Томлад"")","http://www.tdkarandash.ru/"
"","","",""
