"№№","Город","Название магазина","Адрес","Телефон","Сайт"
"1","Россия"," Сеть магазинов и интернет-магазин Детский мир","","","http://www.detmir.ru"
"2","Россия","сеть магазинов Читай Город","","","http://www.nk1.ru"
"3","Москва","интернет магазин Этюд Сайт","","","http://www.etudesite.ru"
"4","Москва","интернет магазин Этюд","","","http://artetud.ru"
"5","Москва","интернет магазин Офисомания","","","http://www.ofisomaniya.ru"
"6","Москва","Сеть магазинов и интернет-магазин  Комус","","","http://www.komus.ru"
"7","Москва","Сеть магазинов и интернет-магазин  Черная речка","","","http://www.artmaterial.ru"
"8","Москва","Сеть магазинов и интернет-магазин Белый Кролик","1. Мичуринский проспект, 31 корп. 4","","http://www.belykrolik.ru"
"9","Москва","Сеть магазинов и интернет-магазин Белый Кролик","Красная Пресня, 12","","http://www.belykrolik.ru"
"10","Москва","Сеть магазинов и интернет-магазин Белый Кролик","Ленинский проспект, 99","","http://www.belykrolik.ru"
"11","Москва","Сеть магазинов и интернет-магазин Белый Кролик","Профсоюзная, 56","","http://www.belykrolik.ru"
"12","Москва","Сеть магазинов и интернет-магазин Белый Кролик","Щербинка, Железнодорожная, 44","","http://www.belykrolik.ru"
"13","Москва","Сеть магазинов и интернет-магазин Белый Кролик","Кировоградская, 13а","","http://www.belykrolik.ru"
"14","Москва","интернет-магазин ОЗОН","","","http://www.ozon.ru"
"15","Москва","Торговый дом книги Москва"," г. Москва, ул. Тверская, д. 8, стр. 1","","http://www.moscowbooks.ru"
"16","Москва","Торговый дом книги Москва"," г. Москва, ул. Воздвиженка, д. 4/7, стр. 1","","http://www.moscowbooks.ru"
"17","Москва","Молодая Гвардия","Б. Полянка, 28","","http://www.bookmg.ru"
"18","Москва","Библио-Глобус","г. Москва, Мясницкая ул., д. 6/3, стр. 1.","","http://www.biblio-globus.ru"
"19","Челябинск","Библио-Глобус","г. Челябинск, ул. Молдавская, 16. ","","http://www.biblio-globus.ru"
"20","Москва","сеть магазинов ""Московский дом книги""","Москва","","http://mdk-arbat.ru"
"21","Москва","сеть магазинов  ""Передвижник""","4-й Сыромятнический пер., д. 1/8 стр. 6, п. 9","","http://www.peredvizhnik.ru"
"22","Москва","сеть магазинов  ""Передвижник""","Театральный пр-д, 5/1, 3 этаж","","http://www.peredvizhnik.ru"
"23","Москва","сеть магазинов  ""Передвижник""","ул. Фадеева, д. 6","","http://www.peredvizhnik.ru"
"24","Москва","сеть магазинов  ""Передвижник""","Ленинградское шоссе, д. 92/1","","http://www.peredvizhnik.ru"
"25","Москва","сеть магазинов  ""Красный Карандаш ""","ул. Б. Каменщики, 4","","http://krasniykarandash.ru"
"26","Москва","сеть магазинов  ""Красный Карандаш ""","Гусятников пер., 13/3","","http://krasniykarandash.ru"
"27","Москва","сеть магазинов  ""Красный Карандаш ""","ул. Крымский Вал, 10 (здание ЦДХ)","","http://krasniykarandash.ru"
"28","Москва","сеть магазинов  ""Красный Карандаш ""","Волоколамское шоссе, 9 (здание МГХПА им. С.Г. Строганова)","","http://krasniykarandash.ru"
"29","Москва","Хэмлис","г. Москва, Театральный проезд, дом 5 ","","http://www.hamleys.ru"
"30","Москва","Хобби Гипремаркет Леонардо","","","http://leonardo.ru"
"31","Москва","Кенгуру","","","http://www.keng.ru"
"32","Москва","Дочки Сыночки","","","http://www.dochkisinochki.ru"
"33","Москва","Винни","","","http://www.winny.ru/ru"
"34","Москва","Арт Бутик      ООО ""ХОББИКА""","Интернет-магазин","","http://artbytik.ru"
"35","Москва","Цветные понедельники    ИП Перминова Н.С","Холодильный переулок, дом № 3, корпус 1, кв. строение 4 ","","http://colormondays.ru"
"36","Москва","Палитра красок      ООО ""Палитра красок""","проспект Андропова 36","","http://artistcolor.ru"
"37","Москва","Шаг к пятерочке  ООО ""УчКанцТорг""","ул. Новомарьинская 4","","http://www.shkolkniga.ru"
"38","Москва","Шаг к пятерочке  ООО ""УчКанцТорг"""," ул. Генерала Кузнецова, 28, корп.","","http://www.shkolkniga.ru"
"39","Москва","Шаг к пятерочке  ООО ""УчКанцТорг""","Московская обл., Реутов г., ул. Котовского, 12","","http://www.shkolkniga.ru"
"40","Москва","Супермаркет Солос","Ул Бобруйская д 22 корп 1","499-140-52-75   499-140-75-14","www.solos-m.ru"
"41","Москва","Арт-Склад","ул. Донская, д. 32","+7 (910) 400-35-40","артсклад.рф "
"42","Москва","Арт-Склад","пр. Вернадского, 86 ТЦ «Альмирал» (рядом с выходом из метро), 2 этаж, пав. 210","+7 (910) 400-35-40","артсклад.рф"
"43","Москва","Арт-Склад","Лаврушинский пер., 15, стр.1 (напротив входа в Третьяковскую галерею)","+7 (495) 951-13-95","артсклад.рф"
"44","Москва","Арт-Склад","Товарищеский пер., д.30 (магазин при Институте им. В.И. Сурикова)","+7 (910) 400-35-40","артсклад.рф"
"45","Москва","Арт-Склад","ул. Верхняя Масловка, д.3, Городок художников на Масловке","+7 (495) 612-80-44","артсклад.рф"
"46","Москва","Аргумент","Ленинские горы, МГУ, дом 1","(495) 939-21-76","http://www.arg.ru/shops/"
"47","Москва","Аргумент","проспект Вернадского, д. 76, корпус В-2","(495) 939-21-77","http://www.arg.ru/shops/"
"48","Москва","Аргумент","ул. Миклухо-Маклая, д. 6, 1-й этаж","(495) 939-21-78","http://www.arg.ru/shops/"
"49","Москва","Аргумент","Ленинский проспект, д. 65, корпус 1, 2-й этаж","(495) 939-21-79","http://www.arg.ru/shops/"
"50","Москва","КанцГрад","Олимпийский проспект, д.16, стр.1","+7 (915) 293-44-55","http://kancgrad.ru/"
"51","Москва","""Арт-Карандаш Бибирево""","Москва, ул. Плещеева, д.12, торговый дом ""Дрезден"", 1 этаж","7 (905) 7-528-628","Www.carandash.ru"
"52","Москва","""Арт-Карандаш Университет""","Москва, Мичуринский проспект, д.9, корп.5.","7 (964) 586-02-20 ","Www.carandash.ru"
"53","Москва","""Арт-Карандаш Белорусская""","Москва, Грузинский пер., д. 6","7 (495) 729-46-10 ","Www.carandash.ru"
"54","Москва","Детские товары ""Облачко""","ул.Веерная д.22/1","8-495-449-11-65",""
"55","Москва","Детский Супермаркет ""Облачко ""","ул.Зои и Александра Космодемьянских д.17/2","8-495-601-44-92",""
"56","Москва","4 Пальца","ул. Новозаводская дом 2, корпус 2.","+7(499) 148-82-92","http://4paltsa.ru/"
"57","Липецк","«Лавка художника»","ул. Гагарина, дом 6","+7(4742)27-12-51","http://4paltsa.ru/"
"58","Рязань","«Лавка художника»","Первомайский проспект, дом 60","+7(4912)76-01-16","http://4paltsa.ru/"
"59","Тула"," «Художественный салон»","Красноармейский проспект, дом 22","+7(4872)55-73-68","http://4paltsa.ru/"
"60","Тверь","«Мир Художника»","Проспект Калинина дом 6","+7(4822)42-73-73","http://4paltsa.ru/"
"61","Калуга","«Мир Художника»","ул. Ленина, дом 44","+7(4842)55-20-93","http://4paltsa.ru/"
"62","Москва","Лофт","Семеновская пл 1","(495) 746 - 22 - 22","http://www.home-station.ru/"
"63","Мытищи","Станция домашняя","Бульвар ветеранов стр 2","(495) 746 - 22 - 23","http://www.home-station.ru/"
"64","Москва","Акварель","Покровка 4, 2 эт","74956247373",""
"65","Москва","Акварель","ул. Парковая 9-я, 68, корп.4","+7 (495) 468-00-21",""
"66","Москва","Акварель","ул. Энергетическая, 14, корп. 1","+7 (495) 362-76-42",""
"67","Москва","Идея Хобби","Багратионовский проезд, 5","(495) 737-68-27","http://www.idea-hobby.ru/"
"68","Липецк","Идея Хобби","улица Советская, 66","8 (4742) 90 99 79","http://www.idea-hobby.ru/"
"69","Воронеж","Идея Хобби","Ленинский пр-т, 174 П, 1 этаж","+7 (473) 262 98 62","http://www.idea-hobby.ru/"
"70","Пушкино","Малыш"," Московский просп., 6;","8-495-993-37-79",""
"71","Мытищи","Ултрамарин","ул. Веры Волошиной, д. 19, оф. 113","+7 965 378 69 88","http://ultramarin-art.ru/"
"72","Москва","Школник","ул. Новослободская д.48, ""Дом быта"", 7 этаж","8 (499) 250-30-77","http://www.shkolnick.ru/"
"73","Москва","Товары для художников  ","ул. Новослободская д.48, ""Дом быта"", 7 этаж","9 (499) 250-30-77","http://www.indigoo.ru/"
"74","Мытищи","Товары для художников и творчества","ул. Сукромка, д. 5 (-1 этаж)","8 (495) 589-95-10","http://art-sat.ru/"
"75","Мытищи","Товары для художников и творчества"," ул. Семашко, д. 24/9","8 (495) 728-90-39","http://art-sat.ru/"
"76","Москва","Коллаж","Сытинский тупик, д. 3","+7 (495) 694-15-06","http://artkollage.ru/"
"77","Москва","Прикольный Школьный","Ленинградский проспект, д. 37, стр. 12, этаж 1, 112","8 (495) 506-35-75","http://schoolbag.ru"
"78","Москва","Канцмир","ул. Генерала Глаголева, 6 корпус 1","+7 (499) 199-59-60","http://kanc-mir.ru/"
"79","С Посад","Магазин для художников","проспект Красной Армии д.156/1","8-496-551-74-36","http://lavka-art.ru.gg/"
"80","Королев","АЛЁНКА ТДЦ","Исаева ул., д. 11","8-495-511-51-42",""
"81","Москва","Интернет магазин GetPen","ул. Новодмитровская, д. 5а, стр. 1","+7 (495) 268-06-94","http://getpen.ru/"
"82","Москва","интернет магазин 095shop","Тимуровская, д. 5","+7 495 545-13-74","http://www.095shop.ru/"
"83","Москва","Арт Хобби Центр","Тверская 12 стр 8","8-495-629-04-03",""
"84","Москва","Книги на Бауманской","Спартаковская 23","8-499-400-41-05","http://www.dom-knigi.ru/"
"85","Москва","ОНЛАЙНТРЕЙД","Ленинградский проспект дом 80, корпус 17","+ 7 (495) 225-95-22","http://www.onlinetrade.ru/"
